date,location,nitrate,pho,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,co2,so2,temperature,ph,dissolved_oxygen,ammonia
5/9/2013,San Nicolas,0,2.27,230.3,33.2,24.9,81,1,40,870,92.88888889,32,8.75,7.8,0.01
5/9/2013,Mataas na Kahoy,0.016,2.27,230.3,33.2,24.9,81,1,40,870,92.88888889,31,8.5,7.5,0.01
5/9/2013,Tanauan,0,2.27,230.3,33.2,24.9,81,1,40,870,92.88888889,30,8.25,7.7,0.01
6/13/2013,Aya Talisay,0.02,2.27,386.1,32.4,24.8,85,1,240,870,92.88888889,31,8.7,5.44,0.06
6/13/2013,Tumaway Talisay,0.03,2.27,386.1,32.4,24.8,85,1,240,870,92.88888889,31,8.7,5.73,0.07
6/13/2013,Sampaloc Talisay,0.02,2.27,386.1,32.4,24.8,85,1,240,870,92.88888889,31,8.6,3.31,0.08
6/13/2013,Berinayan Laurel,0.03,2.27,386.1,32.4,24.8,85,1,240,870,92.88888889,31,8.6,4.4,0.08
6/13/2013,Balakilong Laurel,0.03,2.27,386.1,32.4,24.8,85,1,240,870,92.88888889,31,8.6,4.35,0.08
6/13/2013,Buso Buso Laurel,0.02,2.27,386.1,32.4,24.8,85,1,240,870,92.88888889,31,8.6,5.2,0.07
6/13/2013,Bañaga Agoncillo,0.03,2.27,386.1,32.4,24.8,85,1,240,870,92.88888889,31.25,8.6,4.31,0.08
6/13/2013,Bilibinwang Agoncillo,0.05,2.27,386.1,32.4,24.8,85,1,240,870,92.88888889,31,8.6,5.76,0.08
6/13/2013,Subic Ilaya Agoncilo,0.04,2.27,386.1,32.4,24.8,85,1,240,870,92.88888889,31,8.6,5.38,0.08
6/13/2013,San Nicolas,0.08,2.27,386.1,32.4,24.8,85,1,240,870,92.88888889,31,8.6,6.09,0.04
6/13/2013,Tanauan,0.04,2.27,386.1,32.4,24.8,85,1,240,870,92.88888889,31.5,8.6,5.64,0.04
7/9/2013,Aya Talisay,0.04,2.27,285.9,31.6,24.2,85,1,40,1700,92.88888889,29.8,8.4,4.8,0.04
7/9/2013,Tumaway Talisay,0.04,2.27,285.9,31.6,24.2,85,1,40,1700,92.88888889,29.8,8.5,5.9,0.04
7/9/2013,Sampaloc Talisay,0.04,2.27,285.9,31.6,24.2,85,1,40,1700,92.88888889,30,8.5,4.2,0.04
7/9/2013,Berinayan Laurel,0.04,2.27,285.9,31.6,24.2,85,1,40,1700,92.88888889,30.6,8.4,3.6,0.04
7/9/2013,Balakilong Laurel,0.04,2.27,285.9,31.6,24.2,85,1,40,1700,92.88888889,30.8,8.5,5.6,0.04
7/9/2013,Buso Buso Laurel,0.04,2.27,285.9,31.6,24.2,85,1,40,1700,92.88888889,30.7,8.6,6.8,0.04
7/9/2013,Bañaga Agoncillo,0.04,2.27,285.9,31.6,24.2,85,1,40,1700,92.88888889,30.8,8.5,3.9,0.04
7/9/2013,Bilibinwang Agoncillo,0.04,2.27,285.9,31.6,24.2,85,1,40,1700,92.88888889,30.8,8.5,6.5,0.04
7/9/2013,Subic Ilaya Agoncilo,0.04,2.27,285.9,31.6,24.2,85,1,40,1700,92.88888889,31,8.5,6.7,0.04
